method,iteration,avg_total_reward,avg_discounted_return
simple_SGA,1.0,2.75,1.8643489366113195
simple_SGA,2.0,3.0,2.236714785684388
simple_SGA,3.0,3.5,2.4186742112038777
simple_SGA,4.0,2.0,1.4543216204234164
simple_SGA,5.0,3.25,2.4414384767936426
simple_SGA,6.0,2.75,1.920260582280318
simple_SGA,7.0,4.5,3.3974524787280376
simple_SGA,8.0,3.25,2.5034935663819327
simple_SGA,9.0,1.75,1.3125005109406327
simple_SGA,10.0,3.0,2.217432159006614
simple_SGA,11.0,4.5,3.402065720706985
simple_SGA,12.0,3.5,2.7914831488136755
simple_SGA,13.0,3.75,2.9615206100632103
simple_SGA,14.0,4.75,3.5630653354086204
simple_SGA,15.0,4.75,3.6488380070343007
simple_SGA,16.0,2.25,1.8110122602448024
simple_SGA,17.0,1.5,1.180901700263826
simple_SGA,18.0,2.0,1.4241342648182242
simple_SGA,19.0,1.75,1.3725730288786973
simple_SGA,20.0,2.75,2.2170676306800887
simple_SGA,21.0,1.0,0.7599749892348897
simple_SGA,22.0,2.75,2.211183503380984
simple_SGA,23.0,1.75,1.3456626284498518
simple_SGA,24.0,1.25,0.9808943739701698
simple_SGA,25.0,2.5,1.975085831310955
simple_SGA,26.0,1.0,0.7979055927052006
simple_SGA,27.0,2.25,1.6489837540343428
simple_SGA,28.0,2.5,2.0411848757848152
simple_SGA,29.0,1.25,0.86996309809039
simple_SGA,30.0,2.0,1.581930993417795
simple_SGA,31.0,1.0,0.7923257230229656
simple_SGA,32.0,1.75,1.3609666368440925
simple_SGA,33.0,2.5,2.042743673574545
simple_SGA,34.0,3.5,2.602146012158971
simple_SGA,35.0,2.0,1.5674181933231106
simple_SGA,36.0,1.75,1.1814245079608563
simple_SGA,37.0,1.25,0.9404830537868288
simple_SGA,38.0,1.25,0.9508339888896368
simple_SGA,39.0,2.25,1.5744778392928227
simple_SGA,40.0,2.0,1.6114265852156298
simple_SGA,41.0,1.25,0.8091202228744951
simple_SGA,42.0,2.0,1.5360242523581689
simple_SGA,43.0,2.75,2.0418792961273025
simple_SGA,44.0,3.0,2.4576396913767566
simple_SGA,45.0,3.75,2.753057380177826
simple_SGA,46.0,2.75,2.186802455822508
simple_SGA,47.0,4.25,3.190685321826959
simple_SGA,48.0,3.5,2.57231749665434
simple_SGA,49.0,5.75,4.103591590238497
simple_SGA,50.0,3.75,3.020866804474303
simple_SGA,51.0,4.25,3.1338220862890767
simple_SGA,52.0,4.75,3.441612807261236
simple_SGA,53.0,3.5,2.6631424820787784
simple_SGA,54.0,3.75,2.8916981405534883
simple_SGA,55.0,4.0,2.811614938637319
simple_SGA,56.0,4.5,3.345023009514879
simple_SGA,57.0,4.75,3.5545082868156634
simple_SGA,58.0,2.75,2.1701489587407305
simple_SGA,59.0,5.75,4.127151456356457
simple_SGA,60.0,3.5,2.4092980539088837
simple_SGA,61.0,3.75,2.878688114937326
simple_SGA,62.0,3.25,2.4577706513204465
simple_SGA,63.0,3.75,2.7813991633807675
simple_SGA,64.0,4.25,3.1145564719751158
simple_SGA,65.0,6.0,4.264937859891537
simple_SGA,66.0,3.5,2.4724329173318758
simple_SGA,67.0,3.0,2.000423448418404
simple_SGA,68.0,2.75,2.2185961626028616
simple_SGA,69.0,2.75,2.182368888091644
simple_SGA,70.0,2.25,1.5690301009404326
simple_SGA,71.0,4.75,3.5170090848754425
simple_SGA,72.0,3.0,2.395509626197244
simple_SGA,73.0,4.0,3.128888277293556
simple_SGA,74.0,3.25,2.338216567689574
simple_SGA,75.0,3.75,2.573454191166911
simple_SGA,76.0,3.5,2.543172589966243
simple_SGA,77.0,3.75,2.8186494848817247
simple_SGA,78.0,2.75,2.036096301394807
simple_SGA,79.0,2.25,1.684170707473678
simple_SGA,80.0,2.5,1.739426837808172
simple_SGA,81.0,1.25,0.9806199605957788
simple_SGA,82.0,2.75,1.8759080718875236
simple_SGA,83.0,3.0,2.237367311977337
simple_SGA,84.0,5.0,3.717825950160049
